building_id,timestamp,meter_reading
39,2016-09-02 00:00:00,308.176
45,2016-09-02 00:00:00,4.812
56,2016-09-02 00:00:00,279.85
75,2016-09-02 00:00:00,185.656
77,2016-09-02 00:00:00,127.775
82,2016-09-02 00:00:00,49.5539
110,2016-09-02 00:00:00,313.33299999999997
114,2016-09-02 00:00:00,792.8330000000001
124,2016-09-02 00:00:00,23.7
152,2016-09-02 00:00:00,8.6977
153,2016-09-02 00:00:00,19.4
675,2016-09-02 00:00:00,40.5
683,2016-09-02 00:00:00,1.4
702,2016-09-02 00:00:00,9.6
723,2016-09-02 00:00:00,65.3
724,2016-09-02 00:00:00,14.7
729,2016-09-02 00:00:00,3.7
1232,2016-09-02 00:00:00,274.967
1245,2016-09-02 00:00:00,64.1875
1262,2016-09-02 00:00:00,111.04
1273,2016-09-02 00:00:00,200.0
1277,2016-09-02 00:00:00,145.291
1285,2016-09-02 00:00:00,228.0
1300,2016-09-02 00:00:00,56.7226
1303,2016-09-02 00:00:00,587.373
39,2016-09-02 01:00:00,313.63599999999997
45,2016-09-02 01:00:00,4.7779
56,2016-09-02 01:00:00,272.341
75,2016-09-02 01:00:00,182.926
77,2016-09-02 01:00:00,126.683
82,2016-09-02 01:00:00,48.7348
110,2016-09-02 01:00:00,317.0
114,2016-09-02 01:00:00,779.5
124,2016-09-02 01:00:00,20.2
152,2016-09-02 01:00:00,7.6463
153,2016-09-02 01:00:00,17.2
675,2016-09-02 01:00:00,40.4
683,2016-09-02 01:00:00,1.4
702,2016-09-02 01:00:00,9.6
723,2016-09-02 01:00:00,62.9
724,2016-09-02 01:00:00,14.6
729,2016-09-02 01:00:00,3.7
1232,2016-09-02 01:00:00,268.01
1245,2016-09-02 01:00:00,66.9375
1262,2016-09-02 01:00:00,108.68
1273,2016-09-02 01:00:00,195.0
1277,2016-09-02 01:00:00,126.963
1285,2016-09-02 01:00:00,216.0
1300,2016-09-02 01:00:00,57.2092
1303,2016-09-02 01:00:00,561.372
39,2016-09-02 02:00:00,315.684
45,2016-09-02 02:00:00,4.7779
56,2016-09-02 02:00:00,265.175
75,2016-09-02 02:00:00,166.545
77,2016-09-02 02:00:00,125.591
82,2016-09-02 02:00:00,88.8693
110,2016-09-02 02:00:00,327.125
114,2016-09-02 02:00:00,744.0
124,2016-09-02 02:00:00,20.0
152,2016-09-02 02:00:00,7.718999999999999
153,2016-09-02 02:00:00,16.1
675,2016-09-02 02:00:00,40.4
683,2016-09-02 02:00:00,1.4
702,2016-09-02 02:00:00,9.4
723,2016-09-02 02:00:00,62.0
724,2016-09-02 02:00:00,14.6
729,2016-09-02 02:00:00,3.8
1232,2016-09-02 02:00:00,257.027
1245,2016-09-02 02:00:00,61.2812
1262,2016-09-02 02:00:00,76.88
1273,2016-09-02 02:00:00,189.0
1277,2016-09-02 02:00:00,120.298
1285,2016-09-02 02:00:00,209.0
1300,2016-09-02 02:00:00,54.3141
1303,2016-09-02 02:00:00,548.6990000000001
39,2016-09-02 03:00:00,317.04900000000004
45,2016-09-02 03:00:00,4.7779
56,2016-09-02 03:00:00,260.397
75,2016-09-02 03:00:00,158.35399999999998
77,2016-09-02 03:00:00,140.88
82,2016-09-02 03:00:00,71.9418
110,2016-09-02 03:00:00,315.875
114,2016-09-02 03:00:00,749.5
124,2016-09-02 03:00:00,19.9
152,2016-09-02 03:00:00,7.843
153,2016-09-02 03:00:00,16.0
675,2016-09-02 03:00:00,39.9
683,2016-09-02 03:00:00,1.6
702,2016-09-02 03:00:00,9.6
723,2016-09-02 03:00:00,61.7
724,2016-09-02 03:00:00,14.6
729,2016-09-02 03:00:00,3.8
1232,2016-09-02 03:00:00,247.99
1245,2016-09-02 03:00:00,58.0937
1262,2016-09-02 03:00:00,73.37
1273,2016-09-02 03:00:00,183.0
1277,2016-09-02 03:00:00,109.135
1285,2016-09-02 03:00:00,218.0
1300,2016-09-02 03:00:00,58.3283
1303,2016-09-02 03:00:00,568.86
39,2016-09-02 04:00:00,323.192
45,2016-09-02 04:00:00,4.7779
56,2016-09-02 04:00:00,247.769
75,2016-09-02 04:00:00,166.545
77,2016-09-02 04:00:00,131.59799999999998
82,2016-09-02 04:00:00,37.9503
110,2016-09-02 04:00:00,313.25
114,2016-09-02 04:00:00,740.5
124,2016-09-02 04:00:00,25.2
152,2016-09-02 04:00:00,7.688
153,2016-09-02 04:00:00,15.8
675,2016-09-02 04:00:00,40.5
683,2016-09-02 04:00:00,1.4
702,2016-09-02 04:00:00,10.9
723,2016-09-02 04:00:00,60.8
724,2016-09-02 04:00:00,14.6
729,2016-09-02 04:00:00,4.3
1232,2016-09-02 04:00:00,257.019
1245,2016-09-02 04:00:00,25.6562
1262,2016-09-02 04:00:00,72.47
1273,2016-09-02 04:00:00,71.0
1277,2016-09-02 04:00:00,76.1442
1285,2016-09-02 04:00:00,203.0
1300,2016-09-02 04:00:00,53.0368
1303,2016-09-02 04:00:00,534.5369999999999
